wyId;shortName;firstName;middleName;lastName;height;weight;birthDate;foot;currentTeamId;currentNationalTeamId;gender;status;imageDataURL;seasonId_x;birthAreaName;passportAreaName;roleName;competitionId_x;teamName;teamImage;playerId;competitionId_y;seasonId_y;positions;matches;matchesInStart;matchesSubstituted;matchesComingOff;minutesOnField;minutesTagged;goals;assists;shots;headShots;yellowCards;redCards;directRedCards;penalties;linkupPlays;duels;duelsWon;defensiveDuels;defensiveDuelsWon;offensiveDuels;offensiveDuelsWon;aerialDuels;aerialDuelsWon;fouls;passes;successfulPasses;smartPasses;successfulSmartPasses;passesToFinalThird;successfulPassesToFinalThird;crosses;successfulCrosses;forwardPasses;successfulForwardPasses;backPasses;successfulBackPasses;throughPasses;successfulThroughPasses;keyPasses;successfulKeyPasses;verticalPasses;successfulVerticalPasses;longPasses;successfulLongPasses;dribbles;successfulDribbles;interceptions;defensiveActions;successfulDefensiveAction;attackingActions;successfulAttackingActions;freeKicks;freeKicksOnTarget;directFreeKicks;directFreeKicksOnTarget;corners;successfulPenalties;successfulLinkupPlays;accelerations;pressingDuels;pressingDuelsWon;looseBallDuels;looseBallDuelsWon;missedBalls;shotAssists;shotOnTargetAssists;recoveries;opponentHalfRecoveries;dangerousOpponentHalfRecoveries;losses;ownHalfLosses;dangerousOwnHalfLosses;xgShot;xgAssist;xgSave;receivedPass;touchInBox;progressiveRun;offsides;clearances;secondAssists;thirdAssists;shotsBlocked;foulsSuffered;progressivePasses;counterpressingRecoveries;slidingTackles;goalKicks;dribblesAgainst;dribblesAgainstWon;goalKicksShort;goalKicksLong;shotsOnTarget;successfulProgressivePasses;successfulSlidingTackles;successfulGoalKicks;fieldAerialDuels;fieldAerialDuelsWon;gkCleanSheets;gkConcededGoals;gkShotsAgainst;gkExits;gkSuccessfulExits;gkAerialDuels;gkAerialDuelsWon;gkSaves;newDuelsWon;newDefensiveDuelsWon;newOffensiveDuelsWon;newSuccessfulDribbles;lateralPasses;successfulLateralPasses;passLength;longPassLength;dribbleDistanceFromOpponentGoal;ballRecoveries;ballLosses;duels_Effectiveness;defensiveDuels_Effectiveness;offensiveDuels_Effectiveness;aerialDuels_Effectiveness;pressingDuels_Effectiveness;looseBallDuels_Effectiveness;dribblesAgainst_Effectiveness;fieldAerialDuels_Effectiveness;gkAerialDuels_Effectiveness;shots_Effectiveness;smartPasses_Effectiveness;passesToFinalThird_Effectiveness;forwardPasses_Effectiveness;backPasses_Effectiveness;throughPasses_Effectiveness;keyPasses_Effectiveness;verticalPasses_Effectiveness;longPasses_Effectiveness;attackingActions_Effectiveness;linkupPlays_Effectiveness;progressivePasses_Effectiveness;slidingTackles_Effectiveness;dribbles_Effectiveness;gkShotsAgainst_Effectiveness;POS1;POS2;POS3;Pos_principal;Nombre_Completo;Edad
91039;C. Vargas;Camilo Andrés;;Vargas Gil;185;81;1989-03-09;left;15407;12430;male;active;https://cdn5.wyscout.com/photos/players/public/24998_100x130.png;190537;Colombia;Colombia;Goalkeeper;81;Atlas;https://cdn5.wyscout.com/photos/team/public/526_120x120.png;91039;81;190537;Goalkeeper;6;6;0;0;625;625;0;0;0;0;0;0;0;0;0;0,14;0,14;0;0;0;0;0,14;1;0;17,71;14,83;0;0;2,02;0,86;0;0;10,8;7,92;0;0;0,58;0;0;0;6,05;6,05;6,91;4,03;0;0;1,44;1,44;1,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;2,45;0,86;0;0;0;0,36;12,96;0;0;0;0,43;0;0;0;0;5,18;0,43;0;8,5;0;0;3,31;5,18;0;3,74;0;7,34;0;0;3;0,43;2,16;0,43;0;0,14;0,14;1,73;0,14;0;0;0;6,05;6,05;34,93;52,93;0;2,3;0;100;0;0;714,29;0;0;0;0;100;0;0;42,57;73,33;0;0;0;100;58,32;0;0;72,2;0;0;80,09;Goalkeeper;;;ARQ;Camilo Andrés Vargas Gil;36
257762;D. Sánchez;Davinson;;Sánchez Mina;187;81;1996-06-12;right;4492;12430;male;active;https://cdn5.wyscout.com/photos/players/public/76658_100x130.png;190537;Colombia;Colombia;Defender;81;Galatasaray;https://cdn5.wyscout.com/photos/team/public/469_120x120.png;257762;81;190537;Right Centre Back;6;6;0;0;625;625;0,14;0;0,58;0,58;0;0;0;0;0;13,97;5,9;6,05;1,73;2,45;1,15;4,18;20;0,86;48,1;41,04;0;0;7,34;4,46;0;0;22,32;16,99;2,3;2,16;2,02;0,86;0;0;20,45;19,01;10,22;5,47;0,86;0,58;3,02;9,79;7,78;1,44;0,86;0;0;0;0;0;0;0;0;1;0;1,3;0,14;0,43;0;0;55;0,72;0;8,93;4,18;0,43;0,1;0;0;32,26;1,01;1,01;0,14;1,87;0;0;0,14;0,29;12,1;3,46;0,72;0,14;2,74;1,3;0,14;0;0,14;8,64;0,14;0,14;4,18;2,88;0;0;0;0;0;0;0;0;8,64;4,03;1,58;0,72;20,45;19,01;24,94;44,89;41,32;7,92;0;42,23;66,61;46,94;478,47;0;10,77;47,45;68,9;0;24,14;0;60,76;76,12;93,91;42,57;0;92,96;53,52;59,72;0;71,4;19,44;83,72;0;Right Centre Back;;;DFC;Davinson Sánchez Mina;28
7848;E. Martínez;Damián Emiliano;;Martínez;195;88;1992-09-02;right;1614;12274;male;active;https://cdn5.wyscout.com/photos/players/public/36902_100x130.png;190537;Argentina;Spain;Goalkeeper;81;Aston Villa;https://cdn5.wyscout.com/photos/team/public/32_120x120.png;7848;81;190537;Goalkeeper;6;6;0;0;620;620;0;0;0;0;0;0;0;0;0;0,44;0,44;0;0;0,15;0,15;0,29;2;0;23,95;21,48;0;0;2,61;1,45;0;0;8,85;6,53;0;0;1,02;0,44;0,15;0,15;14,08;14,08;4,21;2,03;0;0;1,45;1,45;1,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;24;0;0;2,03;0,44;0,15;0;0;0,4;16,98;0;0;0;0;0;0;0;0,15;2,9;0,15;0;5,23;0;0;3,05;2,18;0;2,03;0;4,65;0;0;5;0,15;2,18;1,45;0;0,29;0,29;2,03;0,44;0;0,15;0;14,08;14,08;27,55;56,04;0;3,48;0;100;0;100;689,66;0;0;0;0;100;0;0;55,56;73,79;0;43,14;100;100;48,22;0;0;70;0;0;93,12;Goalkeeper;;;ARQ;Damián Emiliano Martínez;32
852011;M. Bombito;Moïse;;Bombito Lumpungu;190;83;2000-03-30;right;3775;15024;male;active;https://cdn5.wyscout.com/photos/players/public/g-364673_100x130.png;190537;Canada;Congo DR;Defender;81;Nice;https://cdn5.wyscout.com/photos/team/public/63_120x120.png;852011;81;190537;Right Centre Back;6;6;0;0;603;603;0;0,15;0,3;0,3;0,15;0;0;0;0;12,69;5,52;4,78;1,34;1,64;0,9;5,22;18;0,6;41,34;35,82;0;0;3,88;2,69;0;0;17,76;14,03;2,09;2,09;0,3;0;0;0;16,72;15,97;4,48;1,64;0,3;0,15;5,37;10,15;9,25;0,6;0,15;0;0;0;0;0;0;0;0;3;0;1,04;0,6;0,15;0,15;0;70;1,49;0,3;5,82;4,03;1,19;0,03;0;0;25,37;0,3;1,04;0;2,84;0;0;0,3;0,15;7,31;4,03;0;0,15;1,64;1,19;0,15;0;0;4,18;0;0,15;5,22;2,69;0;0;0;0;0;0;0;0;7,91;3,88;0,75;0,15;16,72;15,97;20,57;40,47;4,02;10,45;0,15;43,5;81,17;54,88;344,83;0;57,69;72,56;51,53;0;0;0;69,33;79;100;0;0;95,51;36,61;25;0;57,18;0;50;0;Right Centre Back;;;DFC;Moïse Bombito Lumpungu;25
254151;Sergio Rochet;Sergio;;Rochet Álvarez;190;82;1993-03-23;right;5644;15670;male;active;https://cdn5.wyscout.com/photos/players/public/g285939_100x130.png;190537;Uruguay;Italy;Goalkeeper;81;Internacional;https://cdn5.wyscout.com/photos/team/public/255_120x120.png;254151;81;190537;Goalkeeper;6;6;0;0;598;598;0;0;0;0;0;0;0;0;0;0,3;0,15;0,15;0;0,15;0,15;0;0;0;13,09;10,54;0;0;1,35;0,6;0;0;6,92;4,97;0;0;0;0;0;0;5,12;4,97;4,67;3,01;0;0;1,35;1,5;1,51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;2,56;1,35;0,3;0;0;0,6;7,07;0;0;0;0,15;0;0;0;0,15;3,91;0,15;0;4,67;0;0;2,71;1,96;0;2,56;0;3,46;0;0;3;0,6;2,71;1,35;0;0;0;2,11;0,3;0,15;0,15;0;5,12;4,97;31,97;48,76;0;3,01;0;50;100;100;0;0;0;0;0;0;0;0;44,44;71,82;0;0;0;97,07;64,45;0;0;65,47;0;0;77,86;Goalkeeper;;;ARQ;Sergio Rochet Álvarez;32
364005;F. Valverde;Federico Santiago;;Valverde Dipetta;182;78;1998-07-22;right;675;15670;male;active;https://cdn5.wyscout.com/photos/players/public/g397869_100x130.png;190537;Uruguay;Spain;Midfielder;81;Real Madrid;https://cdn5.wyscout.com/photos/team/public/41_120x120.png;364005;81;190537;Right Defensive Midfielder;6;6;2;0;578;578;0,16;0;2,34;0;0;0;0;0;0;8,41;4,2;4,2;1,25;2,18;1,87;0,78;3;0,62;45,93;39,86;0,78;0,47;9,65;8,1;0,93;0,47;15,42;11,83;4,67;4,52;1,4;0,93;0,78;0,78;19,31;17,91;4,2;3,11;0,62;0,47;2,34;7,16;5,61;4,67;1,87;0,31;0;0,31;0;0,62;0;0;1,4;14;0;1,25;0,62;0;1,56;0,78;38;3,27;0,47;5,45;1,09;0;0,07;0,13;0;33,63;0,78;2,49;0;0,47;0,31;0;0;0,62;10,12;3,11;0,62;0;1,87;0,78;0;0;0,47;8,72;0,47;0;0,78;0,47;0;0;0;0;0;0;0;0;5,14;2,65;1,4;0,47;19,31;17,91;20,68;44,73;12,95;5,92;0;49,94;63,1;85,78;384,62;0;49,6;41,71;60,26;0;20,09;60,26;83,94;76,72;96,79;66,43;100;92,75;74,05;40,04;0;86,17;75,81;75,81;0;Right Defensive Midfielder;;;MED;Federico Santiago Valverde Dipetta;26
91702;J. Mojica;Johan Andrés;;Mojica Palacio;185;73;1992-08-21;left;686;12430;male;active;https://cdn5.wyscout.com/photos/players/public/g173784_100x130.png;190537;Colombia;Spain;Defender;81;Mallorca;https://cdn5.wyscout.com/photos/team/public/46_120x120.png;91702;81;190537;Left Back;6;5;0;1;574;574;0;0;0,16;0;0;0;0;0;0;15,68;6,11;6,9;1,72;5,64;2,82;1,25;4;0,31;44,06;37,79;0,31;0,31;3,92;3,14;2,51;1,1;15,99;12,54;7,06;6,9;0,31;0,16;0,31;0,31;12,86;11,45;3,92;2,04;1,57;1,25;4,08;11,14;9,25;4,55;2,35;0,16;0;0;0;0;0;0;0,78;5;0;1,88;0,94;0,63;0,31;0,31;63;1,72;0,16;7,68;2,51;0,47;0;0,01;0;32,46;0,47;1,88;0;0,78;0;0;0;1,1;9,56;4,39;0,16;0;3,14;2,04;0;0;0;7,06;0,16;0;1,25;0,63;0;0;0;0;0;0;0;0;9,09;5,02;2,51;0,94;12,86;11,45;19,02;34,57;28,98;9,88;0,16;38,97;72,75;50;320;0;50;64,97;50,4;0;0;100;80,1;78,42;97,73;51,61;100;89,04;52,04;51,65;0;73,85;100;59,87;0;Left Back;;;LAT IZQ;Johan Andrés Mojica Palacio;32
659608;A. Johnston;Alistair ;;Johnston;180;77;1998-10-08;right;8508;15024;male;active;https://cdn5.wyscout.com/photos/players/public/g-173964_100x130.png;190537;Canada;Northern Ireland;Defender;81;Celtic;https://cdn5.wyscout.com/photos/team/public/296_120x120.png;659608;81;190537;Right Back;6;6;1;0;569;569;0;0;0,16;0;0,16;0;0;0;0;16,92;5,85;9,49;2,53;2,85;1,74;2,37;7;1,11;36,7;30,69;0,47;0,32;6,8;4,43;0,95;0,32;16,61;13,13;3,16;3,01;1,27;0,32;0,16;0,16;12,18;10,6;3,8;1,27;0,79;0,63;3,8;13,76;11,55;2,37;1,42;0,16;0;0;0;0;0;0;0,32;25;0;2,21;0,47;0,47;0,32;0,16;56;1,74;0,32;6,33;2,21;0;0;0,07;0;23,73;0,47;1,11;0,16;1,11;0;0;0,32;0,63;7,91;3,48;0,47;0;2,69;2,21;0;0;0,16;6,17;0,47;0;2,37;1,11;0;0;0;0;0;0;0;0;10,44;7,28;1,58;0,63;12,18;10,6;19,28;45,62;29,65;8,86;0;34,57;76,71;61,05;295,36;0;21,27;82,16;46,84;0;100;68,09;65,15;79,05;95,25;25,2;100;87,03;33,42;59,92;0;78;100;79,75;0;Right Back;;;LAT DER;Alistair  Johnston;26
431967;L. Díaz;Luis Fernando;;Díaz Marulanda;180;73;1997-01-13;right;1612;12430;male;active;https://cdn5.wyscout.com/photos/players/public/g442556_100x130.png;190537;Colombia;Colombia;Forward;81;Liverpool;https://cdn5.wyscout.com/photos/team/public/24_120x120.png;431967;81;190537;Striker;6;6;5;0;542;542;0,33;0;1,33;0,17;0;0;0;0,17;6,48;28,23;8,8;4,32;0,17;16,61;6,31;2,82;4;2,32;20,59;18,43;0,17;0;1,33;1,33;1,49;1;2,66;2,66;5,65;5,31;0,17;0;1,16;1,16;7,64;6,31;0,83;0,66;5,98;3,65;1,16;5,65;3,49;8,97;3,49;0;0;0;0;0;0,17;5,15;1,16;32;0;4,48;1,66;0,33;1;1,16;24;2,82;0,66;10,96;2,16;0;0,27;0,1;0;15,44;2,16;2,32;0,5;0;0;0;0;1,99;2,66;3,49;0,17;0;0,5;0,33;0;0;0,66;2,66;0;0;2,82;0,66;0;0;0;0;0;0;0;0;7,8;2,16;3,32;1,83;7,64;6,31;16,47;25,64;39,25;3,99;0;31,17;50;37,99;141,84;0;37,05;66;23,4;0;49,62;0;100;100;93,98;0;100;82,59;79,52;38,91;79,48;100;0;30,6;0;Striker;;;DEL;Luis Fernando Díaz Marulanda;28
446705;M. Ugarte;Manuel;;Ugarte Ribeiro;182;77;2001-04-11;right;1611;15670;male;active;https://cdn5.wyscout.com/photos/players/public/g452575_100x130.png;190537;Uruguay;Uruguay;Midfielder;81;Manchester United;https://cdn5.wyscout.com/photos/team/public/22_120x120.png;446705;81;190537;Defensive Midfielder;6;6;2;0;540;540;0;0;0,5;0;0,17;0;0;0;0;19;6,33;9,67;2,17;5,83;2,33;1,83;5;1,67;36;32,33;0;0;4,5;3,33;0,17;0;6,67;5;7,5;7,33;0,33;0,17;0;0;17,33;16;3,5;2;1,17;1;4,33;14,33;11,17;1,84;0,83;0;0;0;0;0;0;0;0,17;9;0;1,67;1;0,17;0,33;0;63;4;0,33;6,67;3,17;0,5;0,05;0,02;0;24,33;0,33;0,67;0;2,67;0;0;0;1;4,5;7;0,33;0;2,5;1;0;0;0;3,17;0,33;0;1,83;0,83;0;0;0;0;0;0;0;0;10,17;6,5;1,83;0,83;17,33;16;20,63;40,94;32,47;10,5;0;33,32;67,22;39,97;273,22;0;59,88;40;45,36;0;0;0;74;74,96;97,73;51,52;0;92,33;57,14;45,11;0;70,44;100;70,94;0;Defensive Midfielder;;;MED;Manuel Ugarte Ribeiro;23
