ARQ;DFC;LAT DER;LAT IZQ;MED;MED MIX;MED OF;EXTR;DEL
gkShotsAgainst; defensiveDuels;efensiveDuels;defensiveDuels; defensiveDuels;defensiveDuels;defensiveDuels; defensiveDuels;defensiveDuels
gkShotsAgainst_Effectiveness;defensiveDuels_Effectiveness;defensiveDuels_Effectiveness;defensiveDuels_Effectiveness;defensiveDuels_Effectiveness;defensiveDuels_Effectiveness;defensiveDuels_Effectiveness;defensiveDuels_Effectiveness;defensiveDuels_Effectiveness
gkExits;aerialDuels;aerialDuels;aerialDuels;aerialDuels;interceptions;interceptions;interceptions;ballRecoveries
gkCleanSheets;fieldAerialDuels_Effectiveness;fieldAerialDuels_Effectiveness;fieldAerialDuels_Effectiveness;fieldAerialDuels_Effectiveness;ballRecoveries;opponentHalfRecoveries;opponentHalfRecoveries;aerialDuels
gkAerialDuels;ballRecoveries;interceptions;interceptions;ballRecoveries;passesToFinalThird;passesToFinalThird;passesToFinalThird;fieldAerialDuels_Effectiveness
gkAerialDuels_Effectiveness;interceptions;dribbles;dribbles;interceptions;passesToFinalThird_Effectiveness;passesToFinalThird_Effectiveness;passesToFinalThird_Effectiveness;offensiveDuels
;dribbles;dribblesAgainst_Effectiveness;dribblesAgainst_Effectiveness;passesToFinalThird;dribbles;dribbles;shots;offensiveDuels_Effectiveness
;dribblesAgainst_Effectiveness;keyPasses;keyPasses;passesToFinalThird_Effectiveness;dribblesAgainst_Effectiveness;dribblesAgainst_Effectiveness;shots_Effectiveness;shots
;progressivePasses;passesToFinalThird;passesToFinalThird;dribbles;shots;shots;goals;shots_Effectiveness
;progressivePasses_Effectiveness;passesToFinalThird_Effectiveness;passesToFinalThird_Effectiveness;dribblesAgainst_Effectiveness;shots_Effectiveness;shots_Effectiveness;offensiveDuels;goals
; offensiveDuels;offensiveDuels;offensiveDuels;keyPasses;goals;goals;offensiveDuels_Effectiveness;dribbles
;offensiveDuels_Effectiveness;offensiveDuels_Effectiveness;offensiveDuels_Effectiveness;shots;offensiveDuels;offensiveDuels;dribbles;dribblesAgainst_Effectiveness
;goals;goals;goals;shots_Effectiveness;offensiveDuels_Effectiveness;offensiveDuels_Effectiveness;dribblesAgainst_Effectiveness;keyPasses
;;;;goals; keyPasses;keyPasses;keyPasses;
;;;;offensiveDuels;;;;
;;;;offensiveDuels_Effectiveness;;;;
