team,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Half End,Half Start,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Referee Ball-Drop,Shield,Shot,Starting XI,Substitution,Tactical Shift
Argentina,18,1,3197,210,117,2740,81,60,88,61,165,4,73,93,81,15,15,27,49,67,0,0,0,3358,5,5,802,24,4,88,6,30,12
Bolivia,13,1,1155,141,68,946,67,50,37,29,99,0,62,30,60,6,6,8,32,37,0,0,0,1224,0,0,492,2,0,17,3,15,8
Brazil,19,3,1969,176,69,1755,66,40,97,30,128,2,59,76,54,9,9,10,41,67,2,0,0,2120,1,1,548,5,3,55,4,18,8
Canada,23,4,2197,289,126,1906,133,82,94,39,202,1,88,75,107,14,14,30,54,86,0,0,0,2472,6,6,968,15,5,74,6,27,8
Chile,12,1,1189,136,62,1045,51,43,42,24,112,2,41,44,50,6,6,19,22,42,1,0,0,1317,4,4,463,10,1,22,3,13,5
Colombia,32,6,2657,269,108,2251,86,79,87,44,211,1,101,98,72,14,14,22,39,86,3,0,0,2952,5,5,832,13,7,79,6,31,7
Costa Rica,14,1,780,148,68,674,72,38,42,30,102,1,48,46,64,6,6,20,20,32,0,0,0,901,2,2,520,7,2,9,3,15,6
Ecuador,15,1,1095,202,83,1010,109,45,62,25,163,1,58,64,59,9,9,22,31,46,2,0,1,1323,5,5,524,14,7,54,4,17,8
Jamaica,10,0,964,156,78,857,71,36,38,18,102,0,34,29,73,6,6,7,26,46,0,1,0,1144,2,2,331,3,2,28,3,14,9
Mexico,15,2,1464,193,63,1174,66,40,50,24,116,1,41,29,42,6,6,13,23,38,1,0,0,1549,1,1,397,8,2,58,3,15,3
Panama,8,0,1675,175,52,1455,64,40,59,28,112,2,65,60,50,8,8,14,28,40,0,0,0,1803,4,4,474,4,1,50,4,18,9
Paraguay,15,2,1110,145,56,1025,48,34,50,28,99,2,54,37,40,6,6,6,39,38,2,0,0,1281,1,1,473,7,3,43,3,15,4
Peru,4,2,877,119,61,703,31,32,32,20,116,1,66,47,36,6,6,10,30,33,0,0,0,980,0,0,476,5,2,23,3,15,6
United States,11,1,1022,116,58,818,41,25,33,20,94,1,29,48,37,6,6,16,20,40,1,0,0,1185,2,2,361,3,3,34,3,14,8
Uruguay,17,0,2189,296,110,1928,111,80,74,55,208,2,106,92,77,14,14,24,51,74,1,0,0,2440,3,3,987,12,9,94,6,29,10
Venezuela,15,1,1635,202,69,1344,96,42,57,28,150,1,49,54,76,9,9,9,39,52,1,0,0,1824,3,3,524,6,5,62,4,20,13
