evento,frecuencia
Pass,27873
Ball Receipt*,25175
Carry,21631
Pressure,9172
Ball Recovery,2973
Duel,2179
Block,1248
Clearance,1193
Goal Keeper,978
Foul Committed,974
Dribble,942
Foul Won,922
Miscontrol,824
Shot,790
Dispossessed,766
Interception,544
Dribbled Past,503
Substitution,306
Injury Stoppage,257
50/50,241
Half Start,140
Half End,140
Referee Ball-Drop,138
Tactical Shift,124
Starting XI,64
Shield,56
Player Off,44
Player On,44
Bad Behaviour,26
Error,22
Offside,14
Own Goal For,1
Own Goal Against,1
